Participant,EDA,DiffEDA
5,3.16544091510692,-3.01053816978616
5,3.14774050508781,-3.04289898982437
5,3.14697550508781,-3.04136898982437
5,3.14316050508781,-3.03373898982437
5,3.14469050508781,-3.03679898982437
5,3.15031885575313,-3.02554228849374
5,3.14878885575313,-3.02248228849374
5,3.14316050508781,-3.03373898982437
5,3.14087550508781,-3.02916898982437
5,3.14538569637993,-3.02318860724015
5,3.14386069637993,-3.02013860724015
5,3.1463245204084,-3.0213109591832
5,3.1447995204084,-3.0182609591832
5,3.14573885575313,-3.01638228849374
5,3.14497385575313,-3.01485228849374
5,3.14215738325033,-3.02048523349934
5,3.14011050508781,-3.02763898982437
5,3.13858550508781,-3.02458898982437
5,3.13969458060268,-3.01931083879463
5,3.14121958060268,-3.02236083879463
5,3.14011050508781,-3.02763898982437
5,3.13934550508781,-3.02610898982437
5,3.1417495204084,-3.0121609591832
5,3.1432745204084,-3.0152109591832
5,3.14063238325033,-3.01743523349934
5,3.13987238325033,-3.01591523349934
5,3.13518846650897,-3.02528306698207
5,3.13594846650897,-3.02680306698207
5,3.13161922063713,-3.02936155872573
5,3.13314422063713,-3.03241155872573
5,3.13272321003305,-3.02409357993391
5,3.13272321003305,-3.02409357993391
5,3.13570728802052,-3.01508542395896
5,3.13570728802052,-3.01508542395896
5,3.13418228802052,-3.01203542395896
5,3.13646728802052,-3.01660542395896
5,3.12373441116239,-3.03597117767523
5,3.132309231389,-3.015781537222
5,3.133834231389,-3.018831537222
5,3.12967321003305,-3.01799357993391
5,3.12967321003305,-3.01799357993391
5,3.13623069637993,-3.00487860724015
5,3.13623069637993,-3.00487860724015
5,3.12822725989295,-3.03004548021409
5,3.12364725989295,-3.02088548021409
5,3.12704422063713,-3.02021155872573
5,3.12627922063714,-3.01868155872573
5,3.13112728802052,-3.00592542395896
5,3.13112728802052,-3.00592542395896
5,3.13095550508781,-3.00932898982437
5,3.13172050508781,-3.01085898982437
5,3.13112728802052,-3.00592542395896
5,3.13036728802052,-3.00440542395896
5,3.13300238325033,-3.00217523349934
5,3.13147738325033,-2.99912523349934
5,3.12866550508781,-3.00474898982437
5,3.12943050508781,-3.00627898982437
5,3.12679346650897,-3.00849306698207
5,3.12603346650897,-3.00697306698207
5,3.12977958060268,-2.99948083879463
5,3.12901458060268,-2.99795083879463
5,3.12526846650897,-3.00544306698207
5,3.12526846650897,-3.00544306698207
5,3.12059725989295,-3.01478548021409
