Phase,MeanSelf,MeanPred,MAE
Relax 1,5,6.17341365605613,1.32653519250165
TSST Speech,6.66666666666667,6.77553144174381,1.20197114068795
Arithmetic,7.83333333333333,6.35083394553136,1.48249938780198
Stroop,5.5,6.73308534603796,1.6002072630202
Cold Press,7.83333333333333,6.80046894396408,1.75277313508341
